retrieval_route,metric,baseline_before_dimension_improvement,current_version,delta_percentage_points
semantic,hit_rate_at_5,0.76321839,0.76091954,-0.23
semantic,gold_recall_at_5,0.70440613,0.70708812,0.27
semantic,mrr_at_5,0.62065134,0.60555556,-1.51
semantic,ndcg_at_5,0.62039759,0.61123116,-0.92
dimension,hit_rate_at_5,0.25057471,0.60459770,35.40
dimension,gold_recall_at_5,0.19877395,0.53888889,34.01
dimension,mrr_at_5,0.14555556,0.38950192,24.39
dimension,ndcg_at_5,0.14134042,0.41065115,26.93
fusion,hit_rate_at_5,0.76321839,0.77701149,1.38
fusion,gold_recall_at_5,0.70881226,0.72306513,1.43
fusion,mrr_at_5,0.62789272,0.62406130,-0.38
fusion,ndcg_at_5,0.62646070,0.62845086,0.20
